substanceBXH,gene_symbol
A1BG,A1BG
A4GALT,A4GALT
AACS,AACS
AADACL2,AADACL2
AADAT,AADAT
ABCA10,ABCA10
ABCB1,ABCB1
ABCB11,ABCB11
ABCC11,ABCC11
ABCC8,ABCC8
ABCG4,ABCG4
ABHD3,ABHD3
ABLIM2,ABLIM2
ABP1,ABP1
ABR,ABR
ABT1,ABT1
ACADM,ACADM
ACAN,ACAN
ACAP1,ACAP1
ACAP2,ACAP2
ACAT2,ACAT2
ACBD6,ACBD6
ACER1,ACER1
ACMSD,ACMSD
ACO2,ACO2
ACP6,ACP6
ACRC,ACRC
ACSM2B,ACSM2B
ACTG2,ACTG2
ACTL6B,ACTL6B
ACTL7A,ACTL7A
ACTN3,ACTN3
ACTN4,ACTN4
ACTR6,ACTR6
ACVRL1,ACVRL1
ADA,ADA
ADAM20,ADAM20
ADAM30,ADAM30
ADAM32,ADAM32
ADAM33,ADAM33
ADAMTS16,ADAMTS16
ADAMTS3,ADAMTS3
ADAMTS8,ADAMTS8
ADARB1,ADARB1
ADAT1,ADAT1
ADAT2,ADAT2
ADCY3,ADCY3
ADCY5,ADCY5
ADCY7,ADCY7
ADCYAP1R1,ADCYAP1R1
ADH5,ADH5
ADIPOQ,ADIPOQ
ADK,ADK
ADORA2B,ADORA2B
ADPRHL1,ADPRHL1
ADPRHL2,ADPRHL2
ADRA2C,ADRA2C
ADRB1,ADRB1
ADRB3,ADRB3
ADRBK2,ADRBK2
ADSL,ADSL
AEBP1,AEBP1
AEBP2,AEBP2
AFAP1L1,AFAP1L1
AFG3L2,AFG3L2
AGBL3,AGBL3
AGBL5,AGBL5
AGR3,AGR3
AGTRAP,AGTRAP
AGXT2,AGXT2
AHCY,AHCY
AHSA1,AHSA1
AIFM3,AIFM3
AIM1,AIM1
AK8,AK8
AKAP13,AKAP13
AKAP3,AKAP3
AKAP5,AKAP5
AKIRIN2-AS1,AKIRIN2-AS1
AKT1,AKT1
ALAD,ALAD
ALAS1,ALAS1
ALDH1A3,ALDH1A3
ALDH1L2,ALDH1L2
ALDH5A1,ALDH5A1
ALDH8A1,ALDH8A1
ALDOC,ALDOC
ALG12,ALG12
ALG14,ALG14
ALKBH4,ALKBH4
ALKBH6,ALKBH6
ALKBH7,ALKBH7
